aid,cc,d,au,ar,iu,ir
1477376905,WW,2023-11-23T00:00:00Z,434,4519,63245,11875
1477376905,WW,2023-11-24T00:00:00Z,4382,46966,491,13219
1477376905,WW,2023-11-25T00:00:00Z,3531,77366,477,6738
1477376905,WW,2023-11-26T00:00:00Z,3521,70134,10299,417
1477376905,WW,2023-11-27T00:00:00Z,9994,3633,80355,424
1477376905,WW,2023-11-28T00:00:00Z,8542,4473,99689,387
1477376905,WW,2023-11-29T00:00:00Z,6384,4310,70867,405
1477376905,WW,2023-11-30T00:00:00Z,424,21093,3791,151080
1477376905,WW,2023-12-01T00:00:00Z,20276,3948,85441,422
1477376905,WW,2023-12-02T00:00:00Z,402,7549,3274,105980
1477376905,WW,2023-12-03T00:00:00Z,7625,3671,82961,362
